CountyId,CountyName
1,Maramureş
2,Caraş-severin
3,Bistriţa-năsăud
4,Arad
5,Constanţa
6,Brăila
7,Bistriţa-Năsăud
8,Ialomiţa
9,Giurgiu
10,Satu Mare
11,Harghita
12,Alba
13,Neamţ
14,Bihor
15,Hunedoara
16,Bacău
17,Argeş
18,Vaslui
19,Mureş
20,Covasna
21,Timiş
22,Ilfov
23,Mehedinţi
24,Galaţi
25,Sălaj
26,Ialomita
27,Gorj
28,Braşov
29,Municipiul Bucureşti
30,Teleorman
31,Tulcea
32,Prahova
33,Călăraşi
34,Iaşi
35,Sibiu
36,Dolj
37,Buzău
38,Caraş-Severin
39,Olt
40,Dâmboviţa
41,Botoşani
42,Vâlcea
43,Suceava
44,Vrancea
45,Cluj
