SchoolAddressId,Street,Number,Locality,AddressLatitude,AddressLongitude
1,,837,Agrişu Mare,,
2,Sat Mândruloc,153,Vladimirescu,46.144684,21.4624123
3,Mitropolit Ivireanu Antim,10,Piteşti,44.8637527,24.8419665
4,Calea Timișorii,88,Arad,46.1490275,21.3213145
5,Nicolae Bălcescu,5,Bacău,46.5680001,26.9100021
6,Busuioc,19,Arad,46.1753067,21.3528302
7,Principală,33A,Simeria Veche,45.8652384,22.9858976
8,Calugareni,1 BIS,Drobeta-Turnu Severin,44.6351428,22.6529656
9,Austrului,37,Bucureşti Sectorul 2,44.4359293,26.1234874
10,Calea Bucovinei,33,Câmpulung Moldovenesc,47.52943510000001,25.5596325
11,Plopilor,16,Sibiu,45.8002045,24.1495439
12,Predeal,20,Focşani,45.7019464,27.1754065
13,Corabia,57-59,Bucureşti Sectorul 2,44.4584023,26.1351612
14,Tudor Vladimirescu,39,Alba Iulia,46.07687989999999,23.5801035
15,8 Martie,7,Baia Mare,47.6646687,23.6102712
16,Tisei,5,Sighetu Marmaţiei,47.9354441,23.8955145
17,22 Decembrie,30,Vişeu De Sus,47.7076758,24.4301805
18,Cuza Voda,56,Focşani,45.706064,27.192904
19,Principală,3,Măicăneşti,45.50163939999999,27.4898353
20,Principală,2,Mihălceni,45.963694,26.9688437
21,Dr. Dimitrie Gerota,3,Craiova,44.3005427,23.7914849
22,Piata Eroilor,31,Târgu Lăpuş,47.4539688,23.8630476
23,Mihail Sadoveanu,1,Miercurea Ciuc,46.3592348,25.7991531
24,Sos. Rm.Sarat,80,Brăila,45.2710762,27.9379417
25,Libertății,1 BIS,Alexandria,43.97929999999999,25.313665
26,Tineretului,7,Reşiţa,45.3223825,21.8759892
27,Grigore Silași,5,Beclean,47.1812017,24.1832077
28,Republicii,33,Oradea,47.0632759,21.9376924
29,Aradului,25,Salonta,46.8039513,21.6495293
30,Kazinczy Ferenc,5,Valea Lui Mihai,47.51465719999999,22.1266951
31,Spitalului,8,Caransebeş,45.4206422,22.2136691
32,Tineretului,1,Bocşa,45.37815140000001,21.7281739
33,Principală,752,Filipeştii De Târg,45.0468046,25.7701465
34,Mihail Kogălniceanu,25,Vaslui,46.642635,27.7281225
35,Menumorut,41,Oradea,47.0659818,21.9279885
36,Tudor Vladimirescu,32,Dumbrăveni,46.22372319999999,24.5724797
37,Filaturii,1,Vaslui,46.6560475,27.7341954
38,Cartier Unirea,264,Bistriţa,47.1392617,24.4890979
39,Crișan,3,Marghita,47.3471955,22.3403307
40,Horticolei,56,Buzău,45.14512,26.84346
41,Micsunelelor,29,Râmnicu Sărat,45.3911157,27.0550537
42,Vasile Nașcu,47,Năsăud,47.2841812,24.410692
43,Popa Petre,31,Bucureşti Sectorul 2,44.441212,26.115431
44,Henri Coanda,17,Bacău,46.5300683,26.9177806
45,Filarmonicii,18,Sibiu,45.7959308,24.1553006
46,Petricica,1,Comăneşti,46.425097,26.443798
47,Şaguna Andrei,8,Sibiu,45.7929277,24.1466376
48,Castelului,12,Reghin,46.7710931,24.700762
49,Alba Iulia,20,Bistriţa,47.1263156,24.4927579
50,Făgăraș,1,Ploieşti,44.9286194,26.0497868
51,Roman Ciorogariu,48,Oradea,47.0640771,21.9287154
52,Principală,40,Popeşti,44.9613137,24.3403582
53,Toamnei,2BIS,Bistriţa,47.1277409,24.4909433
54,Cantacuzino Gheorghe Grigore,328,Ploieşti,44.9386974,25.9915627
55,Vasile Alecsandri,3,Negreşti,46.839669,27.464693
56,Ocnei,2,Breaza De Sus,45.1903148,25.6555351
57,Berceni,42A,Vălenii De Munte,45.177502,26.0374077
58,Traian Lalescu,3,Oradea,47.0730131,21.9308739
59,Unirii,38,Tileagd,47.07229960000001,22.1894279
60,Primaverii,51,Reşiţa,45.29204499999999,21.942925
61,Oltului,59,Rosiori De Vede,44.1138281,24.9806888
62,Parcului,1-3,Gura Humorului,47.5523313,25.8963353
63,Cavalerului,1B,Ştefăneşti,44.8679175,24.8885474
64,Victoriei,5,Curtea De Argeş,45.12812640000001,24.6748734
65,Negru Vodă,87,Câmpulung,45.264049,25.039169
66,Morii,7A,Costeşti,44.6647648,24.8799907
67,Calea Unirii,7-9,Suceava,47.6695602,26.274917
68,Garii,693,Turnu Roşu,45.6424067,24.2954326
69,B.St.Delavrancea,55,Constanţa,44.2094642,28.6074123
70,Fagetului,158,Lugoj,45.6968094,21.9286888
71,1 Decembrie 1918,68,Piatra-Neamţ,46.94748380000001,26.3854811
72,Căpitan Ignat,10,Arad,46.1720311,21.3028201
73,Plopului,16bis,Balş,44.3526745,24.0962331
74,Principală,121,Bilbor,47.0656143,25.4864041
75,13 Decembrie,125,Braşov,45.6691969,25.608841
76,Dn1A,,Săcele,,
77,Aviator Bădescu,3-5,Cluj-Napoca,46.7669742,23.5958883
78,Mihail Sadoveanu,5,Recaş,45.8011607,21.5119138
79,Bucegi,2,Timişoara,45.74417589999999,21.2437293
80,Aurel Vlaicu,26 BIS,Braşov,45.6602632,25.5978209
81,Semănătorului,8,Constanţa,44.1910922,28.63061
82,General Ion Dragalina,2,Timişoara,45.7431691,21.2128889
83,Combinatului,3,Făgăraş,45.8194879,24.9668183
84,Nicolae Măndoi,17,Constanţa,44.1720768,28.6014666
85,Bucureşti,32,Cluj-Napoca,46.7799029,23.6011896
86,Prof. Dumitru Mărtinaș,11,Roman,46.9396874,26.9049295
87,1 Decembrie 1918,32,Tîrgu Mureş,46.53860239999999,24.5663417
88,Marasti,8,Tîrgu Mureş,46.55041780000001,24.5625351
89,Principală,69,Ocland,44.8356564,25.853245
90,Calea Lui Traian,128,Băbeni,44.9666188,24.2420495
91,Veniamin Costachi,5,Târgu Neamţ,47.20754729999999,26.3723863
92,Titu Maiorescu,2-6,Timişoara,45.7556361,21.2516657
93,Principală,582,Periş,44.6736095,25.9906072
94,Bulevardul 1848,23,Hunedoara,45.7500968,22.9119047
95,Alexandru Ioan Cuza,8,Satu Mare,47.7913017,22.8773807
96,Crisan,4,Zalău,47.184225,23.054708
97,Nicolae Bălcescu,19,Şimleu Silvaniei,47.22897409999999,22.7912802
98,Dumbrava,34,Târgu Jiu,45.0670939,23.2911052
99,Salcamilor,2,Victoria,45.7286951,24.7047302
100,Banatului,2,Sibiu,45.7915859,24.1456576
101,M. Kogălniceanu,17,Huşi,46.6750364,28.0584584
102,M. Sadoveanu,41,Iaşi,47.1651167,27.5975854
103,Calarasilor,108,Tîrgu Mureş,46.551907,24.553814
104,Bucovina,41,Gura Humorului,47.5532397,25.8984675
105,Putnei,236,Rădăuţi,47.8546673,25.8918357
106,Sos. Combinatului,3,Făgăraş,45.8194879,24.9668183
107,Decebal,15,Constanţa,44.1831036,28.6486805
108,B-Dul Galati,3,Galaţi,45.40410019999999,28.0173097
109,Bobâlna,44,Ploieşti,44.92992419999999,26.0242958
110,Curtea Domneasca,8,Suceava,47.6456249,26.2617204
111,Petöfi Sándor,2-4,Baia Mare,47.6646059,23.5756336
112,B-Dul Revolutiei,20A,Arad,46.18445149999999,21.324088
113,Domneasca,169,Galaţi,45.455564,28.048587
114,Calea Aradului,119,Timişoara,45.7846495,21.2172986
115,Paris,60,Cluj-Napoca,46.7791202,23.6003809
116,Taberei,3,Cluj-Napoca,46.76185,23.5526975
117,Lacul Tei,122-124,Bucureşti Sectorul 2,44.4633777,26.1246001
118,Armoniei,6,Braşov,45.6589134,25.6036215
119,Aurelian,2,Braşov,45.64705499999999,25.619734
120,Calea Mărășești,157,Bacău,46.55506219999999,26.9142979
121,14 Noiembrie,24,Tulcea,45.18071339999999,28.8064398
122,Republicii,226,Piteşti,44.84410949999999,24.892064
123,Sarariei,35,Iaşi,47.1669924,27.5887311
124,Traian,165,Bucureşti Sectorul 2,44.4381774,26.1202664
125,Dacia,1,Reşiţa,45.32556599999999,21.874541
126,Traian,1,Vaslui,46.63290380000001,27.7285829
127,P-Ța G. Enescu,2,Arad,46.1743555,21.3191731
128,1 Decembrie 1918,88,Călăraşi,44.1892933,27.3366066
129,Peştera Dâmbovicioara,12,Bucureşti Sectorul 6,44.4359469,26.0315415
