id_school,school_name,locality,county,street,number,name_latitude,name_longitude,addr_latitude,addr_longitude,coord_distance,trusted_location
11401832,Asociația Creștină De Caritate Samariteanul - Gradinita Samariteanul Agrișu Mare,Agrişu Mare,Arad,,837,46.2684641,21.7481912,,,5549586.17283003,0
11434154,"Asociația ""Educo 2004"" Vladimirescu",Vladimirescu,Arad,Sat Mândruloc,153,46.1632457,21.4060103,46.144684,21.4624123,4820.774605042621,0
11406932,"Asociația Grădinița ""Casa Cu Pitici"" Pitești",Piteşti,Argeş,Mitropolit Ivireanu Antim,10,44.86573190000001,24.8441212,44.8637527,24.8419665,278.1644223193673,0
11401837,Asociația Grădinița Speranței,Arad,Arad,Calea Timișorii,88,46.1868983,21.3144827,46.1490275,21.3213145,4242.449442583843,0
11405606,Asociaţia Iacob Micul Lord,Bacău,Bacău,Nicolae Bălcescu,5,46.5680433,26.9105407,46.5680001,26.9100021,41.571047608706465,1
11401833,"Asociația ""Ringabell"" Arad",Arad,Arad,Busuioc,19,46.1753206,21.3528075,46.1753067,21.3528302,2.3365965341188084,1
11407688,Centru De Pedagogie Curativă Simeria,Simeria Veche,Hunedoara,Principală,33A,45.8277003,23.0462695,45.8652384,22.9858976,6276.917537091454,0
11392991,"Centru Școlar Pentru Educație Incluzivă ""Constantin Pufan""",Drobeta-Turnu Severin,Mehedinţi,Calugareni,1 BIS,44.6351428,22.6529656,44.6351428,22.6529656,0.0,1
11398264,Centrul De Educație Specială,Bucureşti Sectorul 2,Municipiul Bucureşti,Austrului,37,44.40870229999999,26.2109164,44.4359293,26.1234874,7591.360035840921,0
11394603,"Centrul De Studii ""Ștefan Cel Mare Și Sfânt - Bucovina"" Câmpulung Moldovenesc",Câmpulung Moldovenesc,Suceava,Calea Bucovinei,33,47.5294041,25.5595065,47.52943510000001,25.5596325,10.094603519937039,1
11400076,"Centrul De Zi ""Casa Luminii"" Sibiu",Sibiu,Sibiu,Plopilor,16,45.7935607,24.1212945,45.8002045,24.1495439,2317.102259265335,0
11404544,"Centrul Educativ De Zi ""Maria-Ajutorul Copiilor"" Focsani",Focşani,Vrancea,Predeal,20,45.69647450000001,27.184043,45.7019464,27.1754065,906.8113832347533,0
11398290,"Centrul Pilot De Pedagogie Curativă Şi Terapie Socială ""Corabia""",Bucureşti Sectorul 2,Municipiul Bucureşti,Corabia,57-59,44.4582589,26.1351561,44.4584023,26.1351612,15.93994770237226,1
11400435,Centrul Scolar De Educatie Incluziva Alba Iulia,Alba Iulia,Alba,Tudor Vladimirescu,39,46.0773281,23.5807495,46.07687989999999,23.5801035,70.56257524142947,1
11409490,Centrul Scolar De Educatie Incluziva Baia Mare,Baia Mare,Maramureş,8 Martie,7,47.66905449999999,23.6155449,47.6646687,23.6102712,628.2208604463905,0
11409491,Centrul Scolar De Educatie Incluziva Sighetu Marmatiei,Sighetu Marmaţiei,Maramureş,Tisei,5,47.9342614,23.8960161,47.9354441,23.8955145,136.7399198936352,0
11409493,Centrul Scolar De Educatie Incluziva Viseu De Sus,Vişeu De Sus,Maramureş,22 Decembrie,30,47.70789449999999,24.4295108,47.7076758,24.4301805,55.83149195623639,1
11407191,"Centrul Scolar Pentru Educatie Incluziva ""Elena Doamna"" Focsani",Focşani,Vrancea,Cuza Voda,56,45.70719860000001,27.1939317,45.706064,27.192904,149.3561621744332,0
11407190,Centrul Scolar Pentru Educatie Incluziva Maicanesti,Măicăneşti,Vrancea,Principală,3,45.5022635,27.4928471,45.50163939999999,27.4898353,245.3955041836316,0
11407192,Centrul Scolar Pentru Educatie Incluziva Mihalceni,Mihălceni,Vrancea,Principală,2,45.443072,27.3018175,45.963694,26.9688437,63409.13163639436,0
11405690,"Centrul Scolar Pentru Educatie Incluziva ""Sf. Vasile"" Craiova",Craiova,Dolj,Dr. Dimitrie Gerota,3,44.300978,23.7924317,44.3005427,23.7914849,89.7113225734243,1
11409492,Centrul Scolar Pentru Educatie Incluziva Targu Lapus,Târgu Lăpuş,Maramureş,Piata Eroilor,31,47.4539688,23.8630476,47.4539688,23.8630476,0.0,1
11411066,Centrul Social Creșa Miercurea Ciuc,Miercurea Ciuc,Harghita,Mihail Sadoveanu,1,46.3695574,25.7953655,46.3592348,25.7991531,1183.8840681770937,0
11398871,Centrul Şcolar De Educaţie Incluzivă,Brăila,Brăila,Sos. Rm.Sarat,80,45.2652463,27.9594714,45.2710762,27.9379417,1809.5814184812984,0
11399401,Centrul Școlar De Educație Incluzivă Alexandria,Alexandria,Teleorman,Libertății,1 BIS,43.97505719999999,25.3282579,43.97929999999999,25.313665,1262.229719347881,0
11404242,"Centrul Școlar De Educație Incluzivă ""Aurora"" Reșița",Reşiţa,Caraş-Severin,Tineretului,7,45.3224077,21.8759177,45.3223825,21.8759892,6.266521502200393,1
11407520,Centrul Școlar De Educație Incluzivă Beclean,Beclean,Bistriţa-Năsăud,Grigore Silași,5,47.18006810000001,24.1704031,47.1812017,24.1832077,978.7275325063898,0
11403937,"Centrul Școlar De Educație Incluzivă ""Bonitas"" Oradea",Oradea,Bihor,Republicii,33,47.04650050000001,21.9189438,47.0632759,21.9376924,2346.7426745519024,0
11404372,"Centrul Școlar De Educație Incluzivă ""Bonitas"" Salonta",Salonta,Bihor,Aradului,25,46.803968,21.649577,46.8039513,21.6495293,4.087089696717294,1
